Time,Quadrant Number,Ball Colour,Type
0.8333333333333334,4,Color_1,Exit
0.8333333333333334,3,Color_4,Exit
0.9,4,Color_2,Entry
0.9,3,Color_4,Entry
0.9,3,Color_1,Exit
0.9,2,Color_2,Exit
0.9,4,Color_4,Exit
0.9333333333333333,4,Color_1,Entry
0.9333333333333333,4,Color_2,Exit
0.9666666666666667,4,Color_2,Entry
0.9666666666666667,2,Color_3,Entry
0.9666666666666667,4,Color_3,Exit
1.0,3,Color_3,Entry
1.0,2,Color_3,Exit
1.0333333333333334,2,Color_2,Entry
1.0333333333333334,4,Color_3,Entry
1.0333333333333334,4,Color_2,Exit
1.0333333333333334,3,Color_3,Exit
1.1,2,Color_1,Entry
1.1,4,Color_2,Entry
1.1,4,Color_1,Exit
1.1,2,Color_2,Exit
1.1333333333333333,4,Color_1,Entry
1.1333333333333333,2,Color_3,Entry
1.1333333333333333,2,Color_1,Exit
1.1333333333333333,4,Color_3,Exit
1.1666666666666667,2,Color_2,Entry
1.1666666666666667,4,Color_3,Entry
1.1666666666666667,4,Color_2,Exit
1.1666666666666667,2,Color_3,Exit
1.2,2,Color_1,Entry
1.2,4,Color_2,Entry
1.2,4,Color_1,Exit
1.2,2,Color_2,Exit
1.2333333333333334,4,Color_1,Entry
1.2333333333333334,2,Color_2,Entry
1.2333333333333334,2,Color_1,Exit
1.2333333333333334,4,Color_2,Exit
1.2666666666666666,2,Color_1,Entry
1.2666666666666666,4,Color_2,Entry
1.2666666666666666,4,Color_1,Exit
1.2666666666666666,2,Color_2,Exit
1.3,4,Color_1,Entry
1.3,3,Color_2,Entry
1.3,2,Color_1,Exit
1.3,4,Color_2,Exit
1.3333333333333333,3,Color_1,Entry
1.3333333333333333,2,Color_2,Entry
1.3333333333333333,4,Color_4,Entry
1.3333333333333333,4,Color_1,Exit
1.3333333333333333,3,Color_2,Exit
1.3333333333333333,3,Color_4,Exit
1.3666666666666667,2,Color_1,Entry
1.3666666666666667,4,Color_2,Entry
1.3666666666666667,3,Color_4,Entry
1.3666666666666667,3,Color_1,Exit
1.3666666666666667,2,Color_2,Exit
1.3666666666666667,4,Color_4,Exit
1.4,4,Color_1,Entry
1.4,2,Color_3,Entry
1.4,2,Color_1,Exit
1.4,4,Color_3,Exit
1.4333333333333333,2,Color_1,Entry
1.4333333333333333,3,Color_2,Entry
1.4333333333333333,4,Color_3,Entry
